"URI","Label","Context_Subject","Context_Object","ContextWeight"
"http://dbpedia.org/ontology/successor","successor","http://dbpedia.org/ontology/Tenure","http://dbpedia.org/ontology/OfficeHolder",14510
"http://dbpedia.org/ontology/politicalLeader","political leader","http://dbpedia.org/ontology/Village","http://dbpedia.org/ontology/PoliticalFunction",14505
"http://dbpedia.org/property/stadium","stadium","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/Stadium",14441
"http://dbpedia.org/property/publisher","publisher","http://dbpedia.org/ontology/Book","http://dbpedia.org/ontology/Publisher",14429
"http://dbpedia.org/ontology/state","state","http://dbpedia.org/ontology/School","http://dbpedia.org/ontology/AdministrativeRegion",14384
"http://dbpedia.org/ontology/associatedMusicalArtist","associated musical artist","http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/MusicalArtist",14310
"http://dbpedia.org/property/workplaces","workplaces","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/University",14277
"http://dbpedia.org/ontology/militaryUnit","military unit","http://dbpedia.org/ontology/MilitaryPerson","http://dbpedia.org/ontology/MilitaryUnit",14249
"http://dbpedia.org/ontology/recordLabel","record label","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/RecordLabel",14235
"http://dbpedia.org/property/race","Race","http://dbpedia.org/ontology/Horse","http://dbpedia.org/ontology/HorseRace",14127
"http://dbpedia.org/ontology/hometown","home town","http://dbpedia.org/ontology/Band","http://dbpedia.org/ontology/City",14020
"http://dbpedia.org/property/genre","genre","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/MusicGenre",13974
"http://dbpedia.org/ontology/associatedMusicalArtist","associated musical artist","http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/Band",13833
"http://dbpedia.org/property/nextTitle","next title","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/Single",13824
"http://dbpedia.org/property/label","label","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/RecordLabel",13801
"http://dbpedia.org/property/tv","tv","http://dbpedia.org/ontology/NCAATeamSeason","http://dbpedia.org/ontology/TelevisionStation",13702
"http://dbpedia.org/ontology/mountainRange","mountain range","http://dbpedia.org/ontology/Mountain","http://dbpedia.org/ontology/Mountain",13671
"http://dbpedia.org/ontology/bandMember","band member","http://dbpedia.org/ontology/Band","http://dbpedia.org/ontology/MusicalArtist",13625
"http://dbpedia.org/ontology/isPartOfMilitaryConflict","is part of military conflict","http://dbpedia.org/ontology/MilitaryConflict","http://dbpedia.org/ontology/MilitaryConflict",13617
"http://dbpedia.org/property/predecessor","predecessor","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/OfficeHolder",13586
"http://dbpedia.org/ontology/militaryBranch","military branch","http://dbpedia.org/ontology/MilitaryUnit","http://dbpedia.org/ontology/MilitaryUnit",13585
"http://dbpedia.org/ontology/genre","genre","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/MusicGenre",13520
"http://dbpedia.org/ontology/race","race","http://dbpedia.org/ontology/Jockey","http://dbpedia.org/ontology/HorseRace",13468
"http://dbpedia.org/property/manager","manager","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerManager",13388
"http://dbpedia.org/property/beforeElection","before election","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/OfficeHolder",13342
"http://dbpedia.org/ontology/successor","successor","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerClubSeason",13222
"http://dbpedia.org/property/afterElection","after election","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/OfficeHolder",13161
"http://dbpedia.org/ontology/predecessor","predecessor","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerClubSeason",13136
"http://dbpedia.org/ontology/artist","performer","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Band",13110
"http://dbpedia.org/ontology/builder","builder","http://dbpedia.org/ontology/Ship","http://dbpedia.org/ontology/Company",13073
"http://dbpedia.org/ontology/child","child","http://dbpedia.org/ontology/Royalty","http://dbpedia.org/ontology/Royalty",13037
"http://dbpedia.org/ontology/genre","genre","http://dbpedia.org/ontology/Band","http://dbpedia.org/ontology/MusicGenre",13024
"http://dbpedia.org/property/president","President","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/Politician",12948
"http://dbpedia.org/property/candidate","candidate","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/OfficeHolder",12930
"http://dbpedia.org/property/developer","developer","http://dbpedia.org/ontology/VideoGame","http://dbpedia.org/ontology/Company",12880
"http://dbpedia.org/property/extra","extra","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/MusicalArtist",12843
"http://dbpedia.org/ontology/producer","producer","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/MusicalArtist",12807
"http://dbpedia.org/property/company","company","http://dbpedia.org/ontology/TelevisionShow","http://dbpedia.org/ontology/Company",12804
"http://dbpedia.org/property/writer","writer","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/MusicalArtist",12495
"http://dbpedia.org/ontology/mountainRange","mountain range","http://dbpedia.org/ontology/Mountain","http://dbpedia.org/ontology/MountainRange",12447
"http://dbpedia.org/property/club","club","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerClub",12387
"http://dbpedia.org/property/successor","successor","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/OfficeHolder",12266
"http://dbpedia.org/property/relegated","relegated","http://dbpedia.org/ontology/FootballLeagueSeason","http://dbpedia.org/ontology/SoccerClub",12252
"http://dbpedia.org/ontology/routeJunction","route junction","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City",12164
"http://dbpedia.org/property/leader","leader","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/Politician",12162
"http://dbpedia.org/property/president","President","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/OfficeHolder",12131
"http://dbpedia.org/property/markTitle","mark-title","http://dbpedia.org/ontology/Village","http://dbpedia.org/ontology/Village",12126
"http://dbpedia.org/property/range","range","http://dbpedia.org/ontology/Mountain","http://dbpedia.org/ontology/Mountain",12110
"http://dbpedia.org/property/artist","artist","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/Band",12104
"http://dbpedia.org/ontology/almaMater","alma mater","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/University",12025
"http://dbpedia.org/property/predecessor","predecessor","http://dbpedia.org/ontology/OfficeHolder","http://dbpedia.org/ontology/Politician",11956
"http://dbpedia.org/property/club","club","http://dbpedia.org/ontology/Cricketer","http://dbpedia.org/ontology/CricketTeam",11775
"http://dbpedia.org/ontology/writer","writer","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/MusicalArtist",11739
"http://dbpedia.org/ontology/country","country","http://dbpedia.org/ontology/AdministrativeRegion","http://dbpedia.org/ontology/Country",11729
"http://dbpedia.org/ontology/channel","channel","http://dbpedia.org/ontology/TelevisionShow","http://dbpedia.org/ontology/TelevisionStation",11615
"http://dbpedia.org/ontology/artist","performer","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/MusicalArtist",11603
"http://dbpedia.org/ontology/manufacturer","manufacturer","http://dbpedia.org/ontology/MotorsportSeason","http://dbpedia.org/ontology/Company",11582
"http://dbpedia.org/ontology/place","Relates an entity to the populated place in which it is located.","http://dbpedia.org/ontology/MilitaryConflict","http://dbpedia.org/ontology/Country",11577
"http://dbpedia.org/property/artist","artist","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/MusicalArtist",11503
"http://dbpedia.org/property/range","range","http://dbpedia.org/ontology/Mountain","http://dbpedia.org/ontology/MountainRange",11499
"http://dbpedia.org/property/markTitle","mark-title","http://dbpedia.org/ontology/Town","http://dbpedia.org/ontology/Town",11449
"http://dbpedia.org/ontology/operatingSystem","operating system","http://dbpedia.org/ontology/Software","http://dbpedia.org/ontology/Software",11367
"http://dbpedia.org/ontology/profession","profession","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/PersonFunction",11312
"http://dbpedia.org/property/successor","successor","http://dbpedia.org/ontology/OfficeHolder","http://dbpedia.org/ontology/Politician",11286
"http://dbpedia.org/ontology/recordLabel","record label","http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/RecordLabel",11251
"http://dbpedia.org/ontology/instrument","instrument","http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/PersonFunction",11203
"http://dbpedia.org/property/cup","cup","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerTournament",11201
"http://dbpedia.org/property/highSchool","high school","http://dbpedia.org/ontology/AmericanFootballPlayer","http://dbpedia.org/ontology/School",11187
"http://dbpedia.org/property/league","league","http://dbpedia.org/ontology/SoccerClub","http://dbpedia.org/ontology/SoccerLeague",11090
"http://dbpedia.org/property/locationCity","location city","http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/City",10970
"http://dbpedia.org/ontology/residence","residence","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/City",10886
"http://dbpedia.org/ontology/commander","commander","http://dbpedia.org/ontology/MilitaryConflict","http://dbpedia.org/ontology/Politician",10884
"http://dbpedia.org/property/occupation","occupation","http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/PersonFunction",10825
"http://dbpedia.org/ontology/recordLabel","record label","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/RecordLabel",10614
"http://dbpedia.org/property/pastMembers","past members","http://dbpedia.org/ontology/Band","http://dbpedia.org/ontology/MusicalArtist",10613
"http://dbpedia.org/property/line","line","http://dbpedia.org/ontology/Station","http://dbpedia.org/ontology/RailwayLine",10509
"http://dbpedia.org/ontology/commandStructure","command structure","http://dbpedia.org/ontology/MilitaryUnit","http://dbpedia.org/ontology/MilitaryUnit",10478
"http://dbpedia.org/ontology/binomialAuthority","binomial authority","http://dbpedia.org/ontology/Insect","http://dbpedia.org/ontology/Scientist",10438
"http://dbpedia.org/ontology/industry","industry","http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/PersonFunction",10407
"http://dbpedia.org/property/producer","producer","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/MusicalArtist",10363
"http://dbpedia.org/property/leader","leader","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/OfficeHolder",10357
"http://dbpedia.org/ontology/distributor","distributor","http://dbpedia.org/ontology/TelevisionShow","http://dbpedia.org/ontology/Company",10354
"http://dbpedia.org/property/state","state","http://dbpedia.org/ontology/School","http://dbpedia.org/ontology/AdministrativeRegion",10297
"http://dbpedia.org/property/competition","competition","http://dbpedia.org/ontology/FootballLeagueSeason","http://dbpedia.org/ontology/SoccerLeague",10173
"http://dbpedia.org/ontology/spokenIn","spoken in","http://dbpedia.org/ontology/Language","http://dbpedia.org/ontology/Country",10169
"http://dbpedia.org/property/primeminister","primeminister","http://dbpedia.org/ontology/OfficeHolder","http://dbpedia.org/ontology/OfficeHolder",10118
"http://dbpedia.org/property/predecessor","predecessor","http://dbpedia.org/ontology/OfficeHolder","http://dbpedia.org/ontology/OfficeHolder",10098
"http://dbpedia.org/property/locationCountry","location country","http://dbpedia.org/ontology/Company","http://dbpedia.org/ontology/Country",10048
"http://dbpedia.org/ontology/artist","performer","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/Band",10026
"http://dbpedia.org/property/education","education","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/University",9976
"http://dbpedia.org/property/winners","winners","http://dbpedia.org/ontology/FootballLeagueSeason","http://dbpedia.org/ontology/SoccerClub",9965
